10000 60000
31 1612 91
31 1744 83
31 3360 88
31 6870 82
31 9428 84
31 9552 65
32 672 30
32 7061 36
32 7165 53
33 1662 33
33 2112 10
33 3520 27
33 3921 60
33 4383 26
33 7140 30
33 7618 40
33 9218 72
33 9249 85
34 643 40
34 2986 11
34 3934 40
34 4308 80
34 4626 64
34 5379 68
34 5844 22
34 6709 16
34 7732 32
34 9791 52
35 1613 72
35 3349 71
35 6404 83
35 7640 63
36 1181 54
36 3147 70
36 3549 45
36 4161 37
36 5364 35
36 5423 74
36 5858 72
36 6294 87
37 604 7
37 4588 81
38 6827 13
38 9136 66
39 2501 7
39 2852 43
39 3745 6
39 3762 78
39 4173 27
39 5377 46
39 5816 89
39 5974 66
39 6976 26
39 8357 52
39 8726 33
40 4700 47
40 7805 67
41 195 65
41 6772 98
41 9156 39
41 9230 36
42 499 81
42 1833 1
42 3073 89
42 3998 51
42 4367 45
42 5292 26
42 7409 85
42 7838 19
43 80 98
43 4776 71
44 53 25
44 2802 79
44 3212 84
44 3391 91
44 4197 85
44 4416 26
44 7857 96
45 948 63
45 3870 52
45 6006 41
45 9105 51
46 1677 18
46 4191 67
46 7594 2
46 8169 51
46 9145 13
46 9705 69
47 3355 15
47 3797 11
47 5850 8
47 6361 51
48 1419 91
48 2251 8
48 5181 40
48 6447 42
48 9885 53
49 185 65
49 213 26
49 271 71
49 2495 62
49 4976 97
49 5198 96
49 5539 41
49 6050 80
50 1346 86
50 1871 25
50 1964 6
50 4872 82
50 5268 87
50 5397 58
50 6461 23
50 8842 37
51 3303 75
51 5417 89
51 7508 39
52 412 26
52 1376 1
52 4016 8
52 5443 41
52 6708 12
52 7476 15
52 7943 91
52 8342 2
52 9279 23
53 1641 30
53 2066 44
53 2577 75
53 3863 95
53 8828 69
54 106 46
54 439 57
54 2598 66
54 3195 41
54 6497 97
54 7514 46
54 7515 27
54 8708 21
55 959 51
55 1091 9
55 1647 8
55 2323 8
55 2477 31
55 4865 45
55 6151 83
55 6569 19
55 7394 84
56 703 9
56 888 20
56 1455 91
56 2310 49
56 3617 31
56 8473 6
56 8750 39
56 9171 33
57 3599 28
57 4042 69
57 5048 77
57 5703 3
57 5902 63
57 7688 46
57 8405 49
57 9951 19
58 405 11
58 1175 90
58 1719 16
58 3259 56
58 3556 17
59 2936 36
59 5791 7
59 6021 25
59 6466 44
59 6906 15
59 7073 55
59 8284 88
60 1690 98
60 4422 74
60 7651 71
61 1377 6
61 2644 94
61 2856 62
61 4117 54
61 6064 25
61 8064 67
61 8548 93
61 8694 58
62 688 95
62 2976 61
62 4404 34
62 4884 98
62 5256 24
62 5470 79
62 5842 47
62 9049 43
62 9149 89
63 125 36
63 1521 58
63 2943 45
63 4645 52
63 4810 94
63 5568 51
63 7633 76
63 9777 37
64 438 65
64 4194 31
64 5069 24
64 6150 62
64 8998 5
65 781 95
65 882 67
65 1629 99
65 4923 56
65 5117 21
65 6213 23
65 8610 23
65 8897 13
66 1157 80
66 1373 18
66 2814 74
66 6443 13
66 7007 16
67 161 97
67 1793 92
67 2811 62
67 3504 40
67 3659 80
67 5760 97
67 6916 97
67 7514 24
67 7723 49
67 8693 90
68 903 75
68 1298 25
68 8218 27
69 1099 39
69 3191 55
69 4186 51
69 4231 1
69 5649 60
69 7548 46
69 8346 68
70 779 58
70 2297 1
70 4269 88
70 4520 81
70 6467 24
70 8178 1
70 8887 60
70 9045 42
70 9068 74
70 9258 73
71 1968 57
71 2772 71
71 4841 65
71 4975 18
71 6016 10
71 7353 44
71 7510 15
71 8967 6
71 8980 68
72 1226 63
72 1596 96
72 6100 43
72 6480 87
72 8132 23
72 8694 81
72 9310 42
73 274 73
73 587 82
73 3805 2
73 4846 18
73 6735 49
73 8821 59
73 9752 19
74 3869 36
74 9734 39
74 9869 43
75 2981 36
75 3537 99
75 3965 85
75 4511 10
76 75 72
76 3728 41
76 5872 80
76 8913 37
76 9301 59
76 9763 89
77 2755 81
77 4841 74
77 8839 95
78 564 49
78 951 37
78 4178 90
78 4990 91
78 5302 24
78 6629 13
78 8176 72
78 9136 65
79 573 85
79 756 53
79 5298 66
79 7715 3
79 9875 1
80 1944 25
80 3290 22
80 4974 37
80 5668 64
80 6076 65
80 6759 73
80 8293 63
80 9282 49
80 9594 82
81 955 35
81 2159 89
81 3217 61
81 7303 71
81 8556 48
82 1200 50
82 2826 51
82 3363 21
82 7160 44
82 9279 99
83 1168 57
83 2515 34
83 5086 90
83 5597 80
83 7889 46
84 3349 61
84 5080 45
84 7375 31
84 7816 13
84 9858 11
85 2021 34
85 2830 13
85 5710 36
85 8301 55
85 9960 50
86 1321 99
86 1969 20
86 5170 22
86 5794 62
86 6526 68
86 6771 3
86 6853 97
86 6970 57
87 978 64
87 1386 67
87 2637 4
87 3070 13
87 4986 18
87 5315 25
87 9176 57
87 9924 17
88 1227 82
88 4296 90
88 6047 6
88 6369 61
88 7965 36
88 8537 66
89 1863 6
89 2426 67
89 5289 79
89 5669 16
89 5764 100
89 6941 92
90 1062 52
90 1502 55
90 3173 41
90 3288 51
90 3303 74
90 4499 62
90 5148 12
90 7047 41
90 8146 65
90 8310 8
90 9236 97
90 9418 28
90 9592 75
91 1787 1
91 2858 40
91 4187 93
91 5085 25
91 7412 96
91 8667 10
92 6138 6
92 9562 86
93 481 15
93 1492 67
93 2789 21
93 3401 81
93 3433 72
93 3543 88
93 4997 60
93 5552 88
93 5628 87
93 5926 51
93 6097 40
93 6764 42
93 7341 92
94 104 90
94 2383 15
94 2849 53
94 4711 1
94 5254 56
94 9824 17
95 689 9
95 5540 53
95 6057 44
95 6837 84
95 9359 53
96 846 84
96 1874 77
96 2667 77
96 3006 80
96 3061 86
96 4820 83
96 8641 65
97 3353 1
97 3452 49
97 6498 86
97 8427 82
97 8693 21
98 2398 74
98 9849 41
99 688 9
99 1649 60
99 2895 92
99 3591 48
99 5686 1
99 6168 83
99 7843 37
99 9159 16
99 9914 35
100 1190 38
100 2398 71
100 2658 52
100 4442 47
100 5568 23
101 2041 96
101 2281 31
101 2905 76
101 5942 80
101 6089 7
101 6308 53
101 6675 59
101 8501 92
101 8615 35
101 9829 24
102 941 93
102 1474 84
102 3952 10
102 5217 74
102 6626 5
102 8183 83
103 1916 14
103 2073 13
103 8709 43
104 3623 6
104 3983 61
104 4257 44
104 4345 88
104 8135 98
104 8308 59
105 1596 22
105 6244 36
105 6321 30
105 6827 74
105 7177 82
105 8972 53
106 280 69
106 597 12
106 1687 29
106 3771 49
106 3939 19
106 5124 81
106 9033 7
106 9935 10
107 26 15
107 2796 31
107 3553 2
107 3645 98
107 4175 41
107 4842 76
107 7640 2
107 7920 23
107 8211 90
108 378 15
108 8427 66
108 9510 95
109 4006 75
109 4332 9
109 6148 82
109 7973 73
110 191 68
110 2223 4
110 2645 8
110 4124 97
110 4352 77
110 5220 89
110 5436 50
110 6515 46
110 7375 1
110 7388 78
111 271 94
111 524 19
111 723 58
111 3109 1
111 4893 29
111 8342 73
111 9907 31
112 2125 31
112 3057 70
112 3665 72
112 6647 6
112 8522 72
112 9458 94
112 9492 95
113 3722 86
113 4254 59
113 5381 89
113 5534 61
114 2685 68
114 4452 71
114 5035 33
115 600 35
115 3120 74
115 5433 40
116 859 32
116 7324 51
116 8863 29
116 9732 81
117 1215 96
117 3895 30
117 3941 59
117 8666 90
118 3593 48
118 3708 17
118 4842 91
118 5515 77
118 6006 89
118 6872 22
118 7697 7
118 8448 59
119 4883 93
119 6723 12
119 7291 30
119 7935 86
119 8163 7
120 180 16
120 834 45
120 2673 96
120 3482 77
120 6019 12
120 6370 66
120 7221 9
120 8691 46
121 2073 40
121 2512 49
121 3259 78
121 4121 90
121 4984 78
121 5827 59
122 2103 86
122 4841 7
123 111 17
123 638 76
123 3361 55
123 4751 34
123 5423 66
123 6137 31
123 6258 22
123 7543 87
123 8007 38
123 8949 81
124 2002 79
124 3125 50
124 4178 10
124 5858 65
124 6734 56
124 9649 26
124 9811 10
125 240 52
125 517 2
125 1960 22
125 3442 17
125 6529 11
125 7121 68
125 8662 56
125 9473 59
126 758 45
126 1505 46
126 2413 36
126 4856 3
126 8180 31
126 8591 43
126 8942 20
127 950 6
127 3015 97
127 5170 53
127 6851 72
127 9538 28
128 300 75
128 1120 58
128 2276 65
128 3168 55
128 5927 37
128 6943 14
129 1215 65
129 1763 2
129 4191 70
129 4885 90
129 5957 11
129 7394 21
129 9770 91
130 2236 32
130 3148 37
130 5368 1
130 6235 100
130 6696 93
130 7465 60
130 9540 44
131 1449 39
131 3222 96
131 3471 47
131 7811 69
132 1379 38
132 1709 66
132 3363 75
132 3816 35
132 3842 18
132 5653 46
132 7953 62
132 8635 92
132 8796 4
133 1394 27
133 2985 47
133 8457 41
133 8564 41
133 9277 11
133 9815 42
134 121 10
134 414 100
134 4028 53
134 4031 30
134 4499 91
134 6478 85
134 6541 67
134 7887 92
134 9061 84
135 933 60
135 5096 51
135 5206 28
135 5877 98
135 6281 47
136 1425 74
136 3639 66
136 4358 84
136 4811 39
136 6364 41
136 6945 19
137 402 57
137 3961 87
137 5144 81
137 6500 49
137 7843 91
137 8553 7
138 1154 95
138 1442 31
138 2398 47
138 2502 5
138 5292 73
138 6932 57
138 8400 5
138 8642 25
138 9562 86
138 9757 95
139 1754 10
139 2262 52
139 2907 87
139 4471 93
139 7772 11
140 1760 37
141 1284 21
141 1651 9
141 2261 84
141 3535 94
141 3651 74
141 4441 68
141 6712 33
141 7489 15
141 7735 86
141 9340 89
142 2381 1
142 5653 66
142 5893 38
142 6716 91
142 9003 73
142 9316 33
143 180 22
143 1549 20
143 4258 37
143 4364 94
143 8877 76
144 1313 42
144 1807 19
144 2329 62
144 5332 37
144 8420 28
144 8553 14
145 1472 23
145 2686 21
145 4370 25
145 8594 60
145 9219 41
146 1175 33
146 1645 43
146 5757 35
146 7237 7
147 3205 10
147 5541 67
147 9574 21
148 321 96
148 1755 56
148 3444 22
148 3458 61
148 6793 93
148 7233 13
148 7969 34
149 421 25
149 447 34
149 1041 54
149 1238 62
149 2089 27
150 1744 30
150 1908 3
150 4075 45
150 6150 91
150 6507 40
150 8238 73
151 767 4
151 1729 62
151 2637 93
151 4163 28
151 6365 22
151 6569 33
152 4351 60
152 5985 64
152 6671 68
152 8889 66
153 1081 74
153 2394 34
153 2466 87
153 4432 69
153 7816 89
153 8192 8
154 2167 30
154 3723 81
154 5932 20
154 6101 63
154 9398 6
154 9664 53
155 812 17
155 1256 67
155 3029 80
155 4118 46
155 4763 70
155 6277 25
155 6648 36
155 6869 10
155 7512 97
155 7865 40
155 7912 71
156 2269 89
156 6091 67
156 8720 93
157 911 22
157 2402 27
157 3751 56
157 3777 89
157 3879 93
157 9212 29
157 9750 23
158 1272 79
159 78 98
159 655 11
159 1614 87
159 1745 27
159 2101 92
159 2143 6
159 3344 90
159 3544 97
159 6763 59
159 8089 6
159 8416 64
159 9505 38
160 558 52
160 6684 34
160 9697 63
161 184 87
161 1002 43
161 4791 59
161 5390 27
161 8451 14
162 4066 48
162 4547 94
162 5500 6
162 8918 70
163 230 21
163 1325 62
163 2428 58
163 5547 13
163 7691 90
163 7693 81
164 318 92
164 2922 87
164 4705 91
164 8393 78
164 8539 14
165 5265 83
165 5616 84
165 9184 3
166 3062 80
167 2557 42
167 2574 9
167 3790 43
167 8776 80
168 1894 60
168 4131 77
168 5982 42
168 6187 47
168 7424 19
169 1777 1
169 1860 73
169 3365 32
169 5062 48
169 6645 66
169 7157 38
169 7570 17
169 8027 86
170 2255 99
170 4769 75
170 5624 99
170 5743 89
170 7861 55
171 599 90
171 2518 76
171 3138 46
171 3620 67
171 3645 89
171 4873 29
171 5061 51
171 5481 91
171 9171 8
172 1369 92
172 1393 99
172 2606 51
172 2630 72
172 2631 59
172 6048 27
172 7528 13
172 7672 5
173 193 46
173 1318 14
173 1601 77
173 3204 78
173 4185 61
174 1098 42
174 7175 15
174 7304 78
174 7522 28
174 7731 13
174 9060 53
175 347 26
175 797 1
175 1240 7
175 1334 15
175 1336 77
175 2530 53
175 7929 82
175 8010 65
175 8328 81
176 1921 32
176 2648 56
176 6198 89
176 7919 24
177 4525 55
177 6214 39
177 7008 95
177 9961 13
178 591 66
178 1712 8
178 2264 17
178 2585 11
178 5392 21
178 8515 93
178 8835 88
179 3180 82
179 3190 35
179 3458 2
179 6500 59
179 7410 63
179 8684 15
179 9063 11
180 1978 88
180 3540 16
180 4033 18
180 4430 3
180 4489 92
180 5032 71
180 5265 85
180 6038 57
180 7140 52
180 9010 17
181 3538 12
181 6349 40
181 8049 41
181 8898 66
182 789 79
182 3264 36
182 6073 79
182 6136 44
182 6442 43
183 2526 95
183 2534 54
183 4352 64
183 5520 88
183 8639 41
184 64 46
184 1020 23
184 4768 43
184 5189 4
184 6443 85
184 7089 58
184 9811 15
185 175 73
185 1743 73
185 3381 33
185 4225 76
185 4628 65
185 5537 3
186 156 61
186 5686 21
186 5770 54
186 7697 78
186 8260 32
187 2654 94
187 9637 18
187 9674 98
188 153 72
188 468 53
188 2008 76
188 3018 15
188 4781 96
188 7765 71
188 9432 69
189 232 60
189 2193 59
189 2365 10
189 3438 5
190 1376 82
190 1633 52
190 1692 9
190 5333 66
190 6648 10
191 170 23
191 695 39
191 831 82
191 854 55
191 3102 15
191 3579 46
191 5617 58
192 627 75
192 1616 67
192 5924 12
192 5942 52
192 6033 98
193 2465 5
193 3387 70
193 4044 96
193 6232 77
193 8319 22
193 9652 72
194 446 92
194 998 18
194 5129 43
194 7200 60
194 7844 77
194 8795 1
195 1199 69
195 4190 81
195 5303 82
195 7346 21
195 9587 90
196 430 48
196 831 30
196 3169 12
196 4537 87
196 8825 11
196 9554 67
197 1702 1
197 1914 57
197 5609 25
197 8563 76
198 1078 24
198 2462 36
199 393 28
199 3455 21
199 4131 41
199 5250 97
199 5268 17
199 5512 18
200 7066 19
200 7118 89
200 8629 9
201 2311 36
201 3568 31
201 3600 68
201 5188 13
201 9294 32
202 762 37
202 4552 94
202 5019 14
202 8818 57
202 9884 83
203 481 61
203 2685 86
204 1014 95
204 1438 48
204 2157 97
204 3493 61
204 4373 48
204 8443 54
204 8903 86
205 530 23
205 682 77
205 1419 21
205 1945 51
205 3402 98
205 3584 62
205 3642 47
205 5487 15
205 5927 80
205 6385 65
206 2582 3
206 4099 88
206 9528 1
207 3241 33
207 4137 56
207 7239 13
207 9795 64
208 411 93
208 1980 7
208 3126 77
208 3335 49
208 4345 89
208 6253 38
208 7303 35
208 7818 83
208 8880 85
209 633 32
209 6359 44
209 9555 33
209 9761 86
210 227 29
210 744 56
210 1062 63
210 4049 50
210 4626 6
210 5549 60
210 9788 12
211 208 52
211 244 74
211 1500 91
211 9690 17
212 6664 77
212 7249 79
212 9256 17
212 9408 9
212 9846 35
213 5626 30
213 6618 73
213 6956 27
213 9284 36
214 916 50
214 1161 76
214 2213 24
214 3618 88
214 4818 10
214 5180 7
214 5650 72
214 7466 42
215 2120 50
215 8133 5
216 8959 27
216 9089 79
216 9374 60
217 432 89
217 3378 29
217 4912 65
217 5051 49
218 2585 40
218 3375 17
218 3965 23
218 8984 31
218 9050 33
219 2407 99
219 3831 9
219 5359 50
219 7013 8
219 7189 43
220 1564 79
220 3750 81
220 6013 69
220 6760 14
220 9580 31
220 9930 45
221 354 38
221 1309 18
221 2890 54
221 4489 44
221 4706 90
221 5083 96
221 5318 94
221 5326 94
221 6070 23
221 6106 72
222 738 54
222 2868 12
223 476 100
223 3971 18
223 4292 60
223 7575 40
223 8151 35
224 2001 83
224 3685 70
224 4961 68
224 5223 81
224 7892 79
225 547 17
225 1647 89
225 8577 21
225 8701 95
225 8811 69
225 9372 90
225 9421 9
226 4925 99
226 5127 34
226 5752 46
226 6911 16
226 7299 88
227 1779 90
227 3494 6
227 4048 84
227 6284 83
227 7066 99
227 9331 6
228 124 55
228 2859 52
228 6147 17
228 7442 55
228 8599 70
228 8885 77
228 9375 94
228 9490 5
229 944 59
229 2091 64
229 2117 72
229 2923 40
229 4082 42
229 5493 88
229 5691 28
229 6284 63
229 7256 83
229 7981 97
230 5298 53
230 6536 92
230 8254 95
230 8648 87
231 263 37
231 3247 11
231 5614 75
231 5978 27
231 6374 16
231 7534 58
231 7769 9
231 9123 15
232 4289 64
232 9202 64
233 320 67
233 918 80
233 2577 18
233 3830 36
233 4733 57
233 5494 12
233 9891 40
234 438 15
234 2291 75
234 4249 12
234 6201 54
234 6888 17
235 3553 99
235 5065 81
235 6120 80
235 7689 82
235 8217 77
236 9082 33
237 1396 73
237 4481 72
237 5381 19
237 5705 10
237 9464 83
238 1386 94
238 1818 36
238 4080 99
238 9262 51
239 3981 45
239 5467 13
239 8981 15
240 1382 8
240 2906 80
240 3292 95
240 5190 26
240 7726 16
240 7796 51
240 7986 37
240 8123 55
241 785 65
241 1672 11
241 3810 67
241 3918 19
241 9453 28
242 713 66
242 836 100
242 2717 7
242 3237 47
242 4149 77
242 4372 40
242 5883 20
242 7533 48
242 7653 58
242 9750 30
243 1558 31
243 1827 51
243 2212 65
243 2295 29
243 3118 2
243 4297 10
243 4521 42
243 5287 17
243 6043 18
244 843 21
244 2476 11
244 3214 43
244 4081 36
244 4525 61
244 5526 79
244 8828 91
245 469 26
245 1418 90
245 2574 57
245 8486 44
245 9235 18
246 1150 22
246 1865 43
246 2751 25
246 7378 69
247 5844 19
247 6161 64
247 6339 89
248 954 67
248 1273 21
248 1327 18
248 2221 97
248 3251 72
248 3588 83
248 6395 26
248 8220 74
248 8296 92
249 2709 67
249 2902 90
249 6507 10
249 7937 88
250 1521 1
250 4657 52
250 6201 23
250 8271 61
250 9414 30
251 30 14
251 1288 87
251 2673 20
251 4833 71
251 4860 30
251 4878 37
251 6712 93
251 9028 73
251 9239 61
251 9316 61
252 691 92
252 991 24
252 2813 49
252 3249 58
252 5048 44
253 5906 67
253 8644 55
253 8910 16
253 9378 49
254 4760 80
254 6525 90
254 9281 41
255 645 46
255 2803 80
255 3039 50
255 7363 33
256 559 80
256 769 1
256 991 56
256 1003 41
256 3275 31
256 3876 69
256 4701 27
256 8289 50
256 8702 40
256 9984 57
257 661 86
257 4784 32
257 6215 30
257 6894 46
257 8733 93
258 3591 21
258 3846 69
258 7316 41
258 8579 78
259 2588 13
259 2738 8
259 5797 32
259 6038 29
259 7153 56
260 2916 12
260 3426 19
260 5418 97
260 5516 57
260 9534 98
261 3004 46
261 3389 90
261 3860 78
261 3946 47
261 6250 46
261 6371 18
261 7233 77
262 31 15
262 1018 45
262 1251 27
262 2884 54
262 4407 2
262 6920 12
262 7963 85
262 8999 31
262 9952 58
263 1183 77
263 1294 51
264 1814 26
264 2349 18
264 3845 29
264 6763 39
265 2820 25
265 3141 61
265 3379 67
265 4595 81
265 4821 72
265 7818 85
265 8247 77
265 8587 29
266 1621 83
266 5438 23
266 6781 18
267 1539 60
267 2560 70
267 3978 63
267 4448 78
267 4553 46
267 6801 78
267 8140 23
267 9840 72
268 4858 31
268 5748 24
268 8499 84
269 60 16
269 1736 55
269 3339 41
270 264 92
270 3293 5
270 3585 67
270 3994 10
270 4541 34
271 1479 5
271 4597 35
271 4891 94
271 6693 72
271 6707 15
271 8424 66
271 9014 57
272 760 92
272 2037 94
272 3671 39
272 3919 15
272 5244 12
272 5693 99
272 6086 84
273 50 75
273 4863 76
273 8994 30
273 9547 52
274 693 98
274 7583 1
274 8287 82
274 9925 22
275 223 85
275 380 97
275 527 76
275 2925 25
275 4524 89
275 6650 81
275 7286 91
275 8473 98
275 8742 14
275 8858 96
276 407 32
276 1089 8
276 2634 67
276 4195 47
276 5101 73
276 7364 23
276 9553 39
277 907 66
277 3068 62
277 3386 53
278 22 77
278 359 60
278 3719 36
278 4553 51
278 5540 36
278 5731 65
278 8561 2
279 1993 34
279 2506 66
279 5475 84
279 6893 56
279 8199 50
279 8404 80
279 9752 31
280 1080 75
280 2916 69
280 5363 11
280 8597 66
281 7825 66
281 8893 25
281 8916 61
281 9720 98
282 587 32
282 837 28
282 1293 44
282 2813 4
282 3027 51
282 4363 82
283 392 70
283 1876 12
283 2605 35
283 3544 47
283 3634 72
283 8504 70
283 9039 97
284 4189 8
284 5272 35
284 6102 99
284 6153 42
284 7355 1
284 8950 82
285 339 97
285 433 50
285 874 62
285 6822 28
285 7217 25
285 8916 31
285 9914 39
286 1661 90
286 2482 96
286 4399 63
286 9074 51
287 580 94
287 4824 95
287 8639 78
287 8914 38
287 8956 99
287 9290 28
288 100 19
288 458 68
288 1371 40
288 2583 53
288 6400 14
288 9489 12
288 9630 23
288 9741 11
288 9927 19
289 4706 58
289 5769 9
289 6193 61
289 8982 58
289 9687 91
290 403 57
290 1376 8
290 5386 53
290 8666 85
290 9540 32
291 749 84
291 1942 23
291 2668 22
291 4657 79
291 6013 86
291 8272 72
292 1230 73
292 2043 80
292 2822 49
292 3204 10
292 4560 78
292 4747 77
293 4008 28
293 6439 46
293 8083 16
293 8383 81
293 8608 60
294 884 27
294 2987 4
294 3654 70
294 6226 46
294 7300 61
294 8461 79
294 8750 6
294 9712 18
295 4762 70
295 6673 63
295 6894 25
295 7840 23
295 8619 47
296 2 57
296 309 6
296 1315 70
296 5497 78
296 7532 85
297 1350 55
297 1996 49
297 4200 57
297 4815 35
297 5956 98
297 6342 66
298 3872 13
298 4792 74
298 5639 94
299 5205 59
299 5362 89
299 5709 75
299 6206 18
299 9432 16
300 5465 79
300 6587 88
301 2118 61
301 2303 39
301 2395 66
301 3069 67
301 4408 57
301 4970 36
301 7698 29
302 1177 82
302 5661 58
303 603 76
303 876 38
303 1985 64
303 3576 45
303 4647 16
303 5378 48
303 5713 100
303 8061 64
303 8201 5
304 1449 35
304 1474 61
304 2010 71
304 4257 48
304 4916 34
304 9025 64
305 1114 6
305 2697 23
305 4316 39
305 4481 23
305 5618 38
305 8063 17
305 8380 10
305 9183 98
306 2000 56
306 2105 76
306 2340 64
306 2826 12
306 4644 11
306 5297 93
306 8506 94
307 3446 69
307 5116 69
307 5593 31
307 6910 33
308 2607 14
308 8100 47
309 2545 81
309 6526 14
310 1285 10
310 1343 85
310 1590 48
310 2944 71
310 3835 55
310 4362 95
310 5851 4
310 8361 19
310 9176 100
310 9415 27
311 1232 58
311 2329 23
311 3845 64
311 4320 74
311 6106 33
312 765 62
312 785 30
312 1318 8
312 1428 26
312 2441 41
312 3458 19
312 5920 18
312 7054 35
313 1893 88
313 3106 86
313 9368 65
313 9636 21
314 1791 100
314 4526 12
314 7795 1
314 9567 13
315 2663 21
315 3294 86
315 3769 60
315 3923 91
315 7971 41
315 8010 55
315 9371 95
316 1121 60
316 1157 54
316 4488 21
317 1126 17
317 1968 77
317 3979 85
317 4646 91
317 5212 9
317 7050 46
318 832 20
318 2373 17
318 3742 71
318 7190 61
318 7206 36
318 7673 89
318 9148 95
319 1132 24
319 1717 74
319 2716 60
319 2727 44
319 4909 74
319 6352 71
319 8449 44
320 3753 86
320 4778 91
320 7407 30
320 9794 45
321 1263 82
321 3024 70
321 6210 99
322 541 77
322 664 29
322 3483 53
322 7872 98
323 47 45
323 982 30
323 3327 82
323 5586 36
323 5638 38
323 7051 28
323 9814 55
324 188 55
324 935 98
324 1220 15
324 3160 90
324 4212 86
324 4580 9
324 6901 13
324 6946 60
324 7006 69
324 9891 57
325 2617 33
325 3078 39
325 3157 100
325 4114 18
325 7393 30
325 8608 29
326 1005 63
326 1044 11
326 1076 99
326 2041 62
326 4681 88
326 4890 27
326 6194 14
326 7553 85
326 8222 72
326 9615 43
327 476 67
327 1132 7
327 1754 81
327 4038 94
327 7680 62
328 1777 36
328 1951 92
328 2977 76
328 3310 25
328 5599 77
328 7418 85
328 8157 38
328 8251 37
329 798 53
329 2162 94
329 2784 69
329 6514 92
329 9119 94
329 9507 87
330 789 21
330 1325 23
330 1739 49
330 6781 32
330 7528 21
330 8862 10
331 264 19
331 689 48
331 2148 24
331 2603 4
331 4054 19
331 4987 67
331 5173 71
331 6685 26
331 8463 48
331 8934 65
331 9741 87
332 2979 83
332 3886 56
332 4301 62
332 5484 8
332 5554 33
332 8789 47
333 126 45
333 5898 69
333 6817 100
333 7945 39
334 244 38
334 414 91
334 751 33
334 802 24
334 3828 12
334 9103 55
335 1224 73
335 2123 43
335 7126 76
335 8672 83
336 4992 62
336 5660 23
336 9866 7
337 1159 66
337 2356 41
337 3947 73
338 723 37
338 2763 67
338 6607 21
339 3230 1
339 8570 53
339 9424 4
340 6911 56
341 2154 15
341 2293 11
341 2813 88
341 9192 61
341 9612 56
341 9792 57
342 2794 61
342 4665 94
342 4997 94
342 7490 52
342 7844 26
343 1866 18
343 1939 63
343 4180 81
343 4233 90
343 6427 6
343 7419 56
343 9942 73
344 3040 68
344 3242 78
344 3795 79
344 6889 33
344 7391 19
345 1036 52
345 1912 69
345 3951 85
345 4317 72
345 4456 70
345 4531 38
345 7895 76
345 7965 25
346 72 52
346 179 86
346 639 13
