1000 6000
30 344 90
30 511 23
30 529 15
30 806 28
30 838 59
30 918 90
31 112 41
31 115 60
31 392 57
32 113 67
32 477 9
32 563 74
32 740 29
32 961 58
32 979 43
33 132 21
33 548 35
33 878 46
34 281 40
34 431 9
34 445 3
34 512 73
35 37 38
35 157 15
35 262 51
35 317 32
35 343 76
35 523 55
35 589 46
35 595 60
35 731 12
35 747 35
35 822 82
35 825 26
35 889 62
35 920 40
35 926 16
35 953 3
36 456 99
36 462 72
36 539 69
36 974 8
37 176 46
37 753 98
37 775 65
37 777 88
37 793 19
38 135 100
38 224 33
38 514 59
38 657 9
38 725 35
38 876 31
38 917 46
38 975 50
39 419 82
39 695 78
39 835 26
39 905 37
40 129 23
40 500 85
40 511 48
40 572 57
40 916 66
40 925 74
40 962 19
41 280 6
41 686 89
41 798 21
41 856 5
42 17 60
42 60 90
42 98 12
42 100 5
42 119 87
42 473 77
42 612 93
43 23 6
43 73 76
43 117 26
43 126 65
43 830 84
44 48 61
44 209 95
44 263 30
44 362 11
44 372 77
44 546 7
44 938 36
45 81 13
45 313 29
45 371 21
45 712 61
45 864 85
45 959 86
46 283 34
46 813 4
47 305 92
47 338 22
47 546 24
47 821 96
48 120 82
48 800 13
49 339 7
49 423 87
49 449 100
50 20 84
50 503 79
50 583 6
50 925 59
50 990 5
51 53 70
51 157 43
51 173 65
51 650 64
51 663 72
51 841 76
51 877 41
51 992 78
52 142 11
52 521 53
52 755 7
52 756 31
52 779 13
52 953 92
52 966 17
53 56 47
53 140 95
53 211 8
53 348 68
53 497 18
53 543 4
53 663 50
54 39 31
54 174 11
54 219 36
54 374 30
54 479 94
54 685 15
54 985 35
55 34 53
55 318 19
55 366 4
55 494 95
55 760 84
56 22 68
56 74 67
56 149 59
56 246 9
56 479 44
56 871 70
56 925 62
57 215 51
57 549 1
57 630 74
57 683 42
57 787 17
57 896 21
57 942 36
58 13 25
58 74 88
58 77 54
58 157 28
58 205 37
58 307 84
58 543 38
58 560 73
58 849 14
59 30 32
59 74 87
59 200 48
59 723 84
59 873 5
59 887 52
59 914 78
60 169 89
60 395 20
60 523 44
60 730 47
61 812 28
62 28 88
62 47 17
62 215 89
62 405 39
62 486 17
62 581 63
63 201 80
63 355 34
63 567 83
63 685 16
63 792 58
63 829 71
64 20 69
64 52 86
64 493 8
64 681 52
64 856 24
65 178 80
65 194 66
65 229 55
65 234 67
65 386 13
65 413 38
65 488 72
65 684 65
65 737 16
65 787 60
65 889 85
66 247 60
66 289 7
66 379 13
66 612 48
66 897 24
67 37 2
67 337 86
67 612 40
67 631 64
67 737 65
67 840 73
67 847 47
67 968 80
67 976 31
68 331 18
68 762 48
69 204 16
69 442 26
69 444 100
69 618 39
69 742 6
69 949 65
70 98 94
70 467 72
70 545 78
70 623 31
70 816 44
70 897 43
70 980 47
71 318 4
71 477 27
71 674 6
71 803 10
71 962 40
72 99 53
72 226 33
72 358 41
72 363 39
72 519 73
72 692 5
72 986 3
73 461 45
73 472 52
73 514 83
73 770 75
73 921 69
74 66 31
74 110 91
74 124 95
74 427 31
74 513 30
74 633 100
74 713 96
74 887 23
74 950 72
75 44 73
75 285 54
75 470 15
75 483 16
75 962 100
76 49 18
76 902 43
76 986 6
77 132 28
77 286 82
77 947 58
77 954 61
77 975 22
77 999 96
78 114 33
78 265 27
78 319 99
78 412 78
78 418 78
79 257 82
79 308 53
79 470 47
79 931 12
80 14 43
80 99 41
80 326 42
80 335 72
80 468 40
80 502 37
81 201 95
81 315 12
81 377 10
81 384 48
81 447 26
82 142 25
82 236 47
82 322 44
82 340 68
82 370 52
82 527 71
82 557 49
82 826 10
82 854 31
83 30 71
83 45 6
83 314 64
83 454 97
83 857 5
84 133 41
84 159 75
84 244 86
84 273 93
84 681 21
84 759 97
84 780 36
84 995 61
85 67 39
85 733 8
85 843 1
85 860 76
85 988 2
86 169 12
86 180 85
86 292 49
86 352 38
86 425 10
86 461 96
86 479 81
86 535 77
86 700 47
86 971 51
87 6 26
87 142 57
87 175 82
87 247 97
87 505 62
87 937 45
88 273 93
88 359 66
88 381 86
88 639 68
88 744 52
89 130 79
89 318 88
89 334 48
89 382 14
89 687 49
89 693 87
89 750 21
89 778 49
90 202 62
90 370 23
90 596 61
90 746 46
90 914 71
91 139 98
91 163 56
91 252 66
91 516 78
91 760 33
91 891 13
91 941 29
92 56 58
92 463 69
92 610 10
92 725 54
92 826 31
92 952 55
92 958 47
92 961 97
93 44 40
93 93 14
93 134 48
93 153 18
93 190 2
93 255 96
93 617 32
93 670 50
93 693 83
94 48 53
94 425 99
94 506 44
94 662 75
94 809 60
94 998 90
95 652 46
95 699 57
95 815 45
95 818 12
95 834 35
96 68 77
96 102 24
96 237 64
96 348 35
96 514 93
96 787 73
96 942 88
97 2 24
97 84 28
97 114 35
97 195 21
97 551 67
97 635 49
97 892 69
98 12 85
98 221 50
98 251 64
98 615 16
98 689 100
98 780 46
98 835 68
99 1 99
99 216 90
99 221 42
99 224 58
99 264 79
99 360 88
99 382 15
99 477 24
99 621 99
99 713 50
100 33 1
100 111 23
100 216 13
100 259 35
100 416 16
100 579 86
101 13 23
101 157 39
101 204 13
101 318 58
101 533 59
101 584 79
101 590 6
101 594 27
101 674 64
101 832 56
101 889 91
101 948 79
101 976 55
102 366 37
102 387 46
102 670 54
102 736 26
102 804 88
103 62 12
103 126 5
103 608 75
103 833 27
103 896 29
103 940 73
103 943 76
104 16 29
104 587 96
104 634 88
105 135 64
105 327 11
105 505 74
105 941 87
106 256 49
106 319 86
106 409 44
106 632 8
106 767 65
106 777 50
106 953 35
106 958 28
107 133 5
107 216 26
107 472 6
107 614 60
107 647 63
107 655 52
108 248 13
108 456 89
108 847 40
108 891 24
109 1 93
109 123 14
109 415 50
109 425 21
109 471 87
109 674 26
109 697 50
109 744 82
109 790 14
109 869 14
110 20 93
110 309 87
110 682 100
110 856 41
110 906 72
111 68 44
111 340 49
111 361 37
111 461 93
111 546 84
111 556 64
111 610 97
111 658 10
111 689 70
111 783 57
111 830 72
111 918 21
112 85 69
112 206 60
112 228 60
112 324 93
112 368 53
112 489 74
112 657 43
112 710 73
112 861 61
112 928 68
112 969 23
113 94 43
113 155 82
113 274 36
113 678 35
114 125 68
114 339 35
114 624 76
114 650 40
114 880 79
115 158 25
115 374 76
115 722 71
116 118 8
116 225 40
116 291 68
116 443 17
116 645 9
116 925 24
117 51 88
117 93 30
117 161 93
117 334 48
117 591 89
117 760 85
118 268 100
118 359 63
118 407 28
118 479 72
118 712 23
118 847 95
118 941 95
118 950 65
119 133 77
119 146 30
119 348 100
119 589 44
119 966 65
120 179 75
120 185 84
120 410 43
120 478 99
120 586 60
120 688 14
120 887 7
120 993 100
121 244 81
121 329 23
121 407 8
121 535 4
121 685 11
121 988 37
122 306 97
122 408 58
122 483 26
123 209 81
124 531 57
124 792 88
124 846 8
125 158 29
125 310 11
125 477 3
125 639 23
125 793 75
126 167 80
126 227 53
126 451 74
126 461 24
126 557 18
126 729 49
127 101 7
127 173 61
127 353 47
127 368 67
127 465 74
128 147 54
128 486 66
128 879 55
129 34 76
129 45 73
129 108 59
129 179 87
129 230 10
129 529 55
129 664 44
129 884 35
129 943 36
129 970 1
129 976 23
130 18 44
130 29 29
130 194 33
130 433 46
130 705 52
130 789 8
131 104 26
131 212 5
131 513 81
131 732 49
131 748 23
131 866 30
131 907 55
131 965 83
132 18 77
132 39 22
132 520 57
132 577 30
132 787 87
132 928 12
133 36 6
133 64 60
133 92 70
133 254 92
133 383 70
133 533 25
133 828 35
133 863 4
133 892 60
134 133 36
134 231 26
134 240 3
134 516 65
134 975 59
135 32 49
135 76 16
135 449 66
135 607 74
135 637 21
135 895 47
135 984 22
136 634 43
136 659 76
136 717 77
136 897 26
137 331 52
137 558 98
137 582 82
137 804 82
138 31 85
138 89 93
138 96 87
138 219 44
138 285 63
138 360 78
138 417 13
138 558 88
138 750 13
138 809 17
138 816 47
138 978 48
138 981 43
139 3 50
139 42 12
139 56 1
139 143 99
139 156 28
139 165 66
139 245 73
139 332 48
139 400 13
139 954 95
140 169 91
140 567 88
140 978 71
141 38 16
141 42 40
141 265 69
141 429 98
141 455 21
141 606 53
141 666 91
141 700 8
142 294 97
142 329 53
142 506 86
142 509 10
142 579 40
142 751 98
142 852 26
143 119 87
143 194 46
143 273 69
143 283 37
143 359 58
143 413 69
143 521 35
143 586 85
143 816 35
144 3 8
144 127 33
144 164 47
144 193 2
144 213 23
144 496 35
144 564 73
144 637 39
144 721 75
145 397 41
145 499 36
145 724 96
145 746 94
145 820 26
145 931 3
145 976 91
146 513 79
146 857 88
146 882 100
146 969 19
147 316 86
147 457 26
147 790 5
147 849 31
147 881 94
148 81 41
148 522 89
148 568 63
148 613 76
148 682 74
148 727 98
148 759 83
148 925 6
148 939 45
149 148 85
149 558 29
149 559 79
149 623 57
149 629 68
149 806 53
150 99 98
150 350 3
150 547 48
150 632 92
150 723 29
150 784 51
150 938 82
151 72 7
151 198 39
151 623 82
151 703 25
152 21 24
152 32 7
152 94 30
152 202 55
152 233 1
152 236 71
152 481 43
152 681 63
152 732 46
153 11 16
153 54 60
153 382 29
153 563 22
153 632 4
153 807 14
153 920 50
154 0 83
154 58 71
154 90 18
155 292 36
155 401 69
155 715 20
155 828 84
156 2 60
156 20 48
156 67 34
156 400 42
156 450 55
156 489 72
156 773 24
156 971 79
157 18 96
157 50 30
157 309 8
157 336 50
157 464 31
157 503 78
157 931 92
158 164 93
158 254 24
158 335 8
158 401 53
158 537 53
158 893 29
159 303 57
159 802 66
160 119 79
160 272 39
160 467 36
160 513 96
160 563 75
160 658 4
160 689 16
160 846 58
160 930 64
160 970 64
161 156 92
161 251 6
161 482 18
161 719 64
162 119 29
162 273 97
163 254 59
163 391 59
163 429 5
163 507 8
163 830 89
164 4 83
164 274 100
164 745 81
164 834 6
164 987 7
165 11 34
165 130 59
165 135 36
165 235 90
165 266 25
165 406 14
165 718 29
165 859 60
166 419 10
166 569 4
166 614 64
166 678 25
166 783 61
166 868 27
166 938 88
167 202 53
167 342 33
167 384 6
167 481 16
167 611 61
167 672 2
167 815 74
167 872 19
168 229 6
168 403 82
168 461 7
169 36 89
169 58 82
169 516 88
169 640 95
169 732 89
169 864 22
169 906 53
169 917 24
169 949 11
170 479 77
170 481 38
170 522 40
170 945 37
170 987 47
171 536 43
171 829 100
172 453 72
172 474 4
172 972 27
173 26 59
173 156 57
173 199 59
173 350 64
173 385 72
173 409 20
173 447 66
173 526 46
173 552 38
173 787 72
173 844 28
173 937 45
173 957 60
174 170 9
174 187 32
174 288 54
174 790 98
174 926 53
175 44 6
175 303 21
175 363 64
175 699 83
175 714 59
175 841 4
175 862 19
175 906 6
175 955 47
176 167 19
176 240 77
176 599 51
176 618 45
176 639 35
176 696 7
176 837 4
176 950 99
177 293 79
177 382 23
177 954 64
178 48 24
178 60 61
178 221 36
178 242 51
178 359 5
178 360 95
178 403 60
178 517 37
178 524 48
178 547 57
178 760 90
178 846 54
178 970 78
179 47 54
179 169 36
179 674 37
179 831 57
179 946 55
179 948 42
180 104 4
180 359 73
180 479 18
180 684 55
180 862 18
180 958 53
181 33 61
181 152 22
181 341 51
181 504 39
181 932 45
181 989 15
182 275 63
182 530 5
183 98 50
183 175 14
183 219 10
183 458 44
183 617 73
183 750 47
183 778 92
183 966 30
184 156 36
184 230 45
184 282 8
184 373 89
184 554 81
184 666 44
185 142 46
185 280 35
185 285 85
185 553 50
185 689 7
185 799 3
186 189 4
186 230 25
186 625 55
186 637 65
186 729 46
186 867 6
186 906 3
186 910 90
187 276 20
187 618 65
188 257 94
188 287 70
188 322 78
188 356 4
188 436 14
189 324 51
189 559 50
189 735 5
189 819 81
189 957 85
190 376 50
190 398 88
190 432 74
190 483 30
190 580 32
190 822 20
190 823 65
190 997 16
191 51 70
191 83 72
191 302 19
191 507 73
191 581 96
191 786 73
191 921 37
192 663 41
193 228 78
193 634 40
193 805 30
193 858 98
193 908 5
194 57 23
194 161 67
194 455 83
194 633 27
195 95 80
195 136 33
195 269 76
195 395 85
195 430 13
195 483 61
195 603 34
195 777 1
195 830 34
196 265 64
196 320 32
196 639 54
197 486 28
197 575 48
197 718 23
197 938 99
198 11 66
198 29 96
198 82 94
198 94 39
198 147 33
198 440 35
198 612 16
198 747 72
199 255 64
199 287 13
199 355 77
199 677 87
199 685 80
199 883 59
200 401 13
200 661 60
200 746 91
201 122 88
201 869 44
201 884 4
202 771 48
203 113 78
203 166 4
203 602 82
203 715 42
203 903 36
204 201 35
204 276 70
204 433 83
204 443 58
204 526 69
204 837 48
204 854 54
205 51 63
205 61 86
205 101 86
205 409 97
205 522 2
206 24 58
206 170 60
206 368 15
206 423 34
206 553 46
206 965 94
207 9 92
207 111 58
207 121 54
207 318 83
207 496 46
207 610 98
207 618 86
207 770 93
207 922 75
207 994 90
208 5 75
208 369 16
208 374 25
209 34 10
209 110 86
209 522 8
209 737 67
209 888 54
209 918 55
210 473 20
210 474 16
210 503 41
210 606 6
210 985 12
211 274 43
211 448 63
211 594 71
211 678 57
211 733 96
212 37 17
212 252 51
212 334 88
212 385 74
212 405 4
212 769 70
212 837 20
213 252 2
213 276 56
213 722 13
214 3 76
214 93 46
214 278 87
214 344 92
214 428 70
214 759 96
214 899 77
214 983 78
215 205 62
215 505 31
215 608 32
215 628 82
215 992 46
216 97 73
216 297 87
216 309 57
216 380 15
216 496 50
216 528 28
216 728 72
216 807 46
217 81 44
217 136 23
217 215 33
217 271 18
217 378 27
217 492 3
217 941 37
217 989 28
218 174 59
218 296 49
218 450 3
218 667 4
218 839 35
219 158 95
219 349 74
219 477 31
219 502 72
219 504 51
219 919 93
220 123 2
220 349 83
220 647 74
220 648 47
220 707 55
220 830 61
220 831 4
220 872 70
220 895 10
220 974 31
221 106 42
221 303 56
221 321 74
221 335 64
221 403 88
221 427 91
221 506 90
222 86 91
222 112 28
222 219 17
222 347 49
222 561 77
222 752 20
223 651 52
223 667 12
223 945 15
224 27 25
224 250 42
224 498 86
224 541 76
224 554 34
225 15 88
225 79 58
225 367 8
225 416 34
225 522 13
225 619 69
225 732 37
226 135 83
226 311 79
226 815 68
226 967 24
227 138 34
227 388 41
227 458 88
227 495 22
227 926 32
227 986 78
228 455 12
228 634 60
228 893 95
229 62 60
229 122 36
229 134 15
229 276 12
229 339 47
229 410 29
229 578 37
229 641 88
229 665 15
229 923 12
230 31 22
230 189 2
230 257 70
230 379 30
230 385 35
230 403 82
230 631 98
230 902 72
230 990 65
231 204 76
231 501 39
231 524 88
231 664 10
231 710 80
232 154 76
232 333 31
232 366 12
232 501 53
232 837 42
232 864 71
232 963 48
233 49 1
233 73 6
233 202 62
233 383 12
233 446 53
233 481 91
233 623 49
233 733 41
233 760 5
233 829 60
233 926 62
233 979 6
234 203 29
234 247 91
234 354 41
234 896 11
235 417 89
235 613 13
235 648 75
235 727 65
235 944 52
236 70 63
236 153 74
236 432 31
236 653 38
236 661 4
236 665 43
236 704 91
236 969 45
237 219 13
237 241 39
237 331 46
237 564 19
237 811 100
238 22 58
238 158 71
238 322 90
238 441 6
238 450 11
238 552 94
238 618 65
238 881 73
238 970 100
238 998 94
239 163 64
239 390 40
240 77 4
240 262 52
240 679 53
241 67 79
241 364 16
241 675 4
241 848 41
242 8 89
242 204 35
242 570 79
242 634 93
242 893 77
243 24 70
243 436 37
243 454 89
243 553 8
244 136 83
244 204 8
244 326 7
244 450 40
244 659 79
244 772 97
244 803 46
244 848 89
244 912 91
245 137 10
245 155 62
245 214 90
245 223 4
245 285 26
245 328 30
245 791 8
245 962 78
246 194 82
246 339 86
246 426 93
246 509 86
246 521 26
246 576 82
246 981 20
247 158 4
247 193 75
247 324 96
247 360 73
247 406 12
247 543 85
247 574 81
247 703 94
248 450 92
248 552 87
248 642 33
248 728 70
248 833 84
248 851 79
249 200 59
249 451 74
249 508 89
249 583 21
249 633 64
249 710 92
250 256 46
250 425 93
250 839 99
250 994 23
251 47 75
251 60 84
251 142 16
251 266 60
251 861 10
251 912 98
251 970 79
251 998 14
252 91 72
252 96 74
252 290 87
252 488 83
252 589 58
252 738 67
252 754 76
253 34 50
253 47 54
253 78 9
253 148 19
253 162 37
253 182 87
253 372 78
253 400 10
253 573 75
253 670 98
253 697 73
253 703 67
254 82 43
254 246 66
254 439 65
254 972 65
255 726 41
255 777 49
256 281 80
256 417 100
256 601 58
256 769 78
257 74 79
257 143 72
257 423 49
257 476 53
257 778 58
258 164 31
258 334 10
258 453 24
258 488 7
258 617 60
258 683 77
258 974 15
259 144 78
259 161 13
259 171 2
259 229 56
259 786 23
259 843 77
260 493 53
260 545 96
260 649 43
260 877 95
261 172 61
261 192 8
261 426 60
261 943 1
261 967 56
262 240 40
262 402 1
262 604 14
262 823 17
262 958 79
262 968 85
263 281 65
263 294 31
263 757 43
264 99 96
264 135 41
264 285 66
264 317 2
264 532 100
264 633 43
264 800 17
264 838 78
265 439 56
265 485 19
265 725 33
265 746 78
266 25 95
266 243 86
266 403 74
266 539 38
266 953 80
267 35 35
267 321 45
267 434 39
267 687 36
267 862 1
268 90 79
268 162 36
268 191 15
268 387 95
268 391 15
268 735 99
268 779 60
269 238 46
269 321 42
269 578 55
269 651 86
270 317 8
270 367 57
270 437 86
270 458 50
270 698 74
270 711 64
270 745 5
270 758 93
270 832 97
270 950 83
270 962 87
271 61 82
271 172 56
271 221 25
271 312 62
271 557 91
271 627 69
271 667 1
271 791 26
271 850 69
272 35 79
272 284 62
272 785 83
274 239 73
275 139 76
275 168 82
275 480 33
275 524 22
275 547 24
275 767 87
275 913 7
276 44 31
276 176 44
276 233 93
276 792 80
276 974 18
277 34 57
277 407 85
277 553 10
277 664 53
277 810 67
278 122 96
278 145 35
278 285 23
279 28 21
279 66 96
279 365 14
279 844 89
280 313 96
280 546 39
280 687 58
280 794 74
280 887 100
280 997 41
281 59 47
281 334 76
281 493 23
281 836 79
281 904 97
281 983 46
282 75 66
282 95 4
282 437 76
282 669 10
282 845 97
282 898 56
282 914 27
282 930 53
283 50 40
283 352 36
283 420 6
283 456 7
283 500 32
283 597 41
284 76 30
284 738 52
285 250 37
285 313 43
285 777 41
285 807 32
285 968 82
286 24 98
286 202 6
286 254 82
286 395 39
286 559 53
286 605 57
286 714 61
286 846 32
286 887 54
286 901 6
286 944 98
287 105 58
287 182 82
287 197 7
287 409 54
287 454 37
287 838 34
287 966 7
288 216 76
288 350 69
288 521 13
288 537 83
288 808 1
288 864 53
289 453 12
289 720 53
290 294 90
290 445 54
290 458 94
290 663 21
291 547 35
291 695 91
291 873 27
291 925 16
291 932 29
291 992 79
292 224 73
292 275 90
292 491 11
292 499 27
292 549 95
292 628 8
292 694 84
292 708 77
292 714 14
292 771 37
292 822 13
292 848 47
293 25 44
293 114 89
293 184 16
293 256 56
293 419 71
293 425 17
294 0 9
294 124 82
294 232 70
294 301 98
294 574 36
294 614 63
294 770 19
295 395 71
295 479 53
295 615 46
295 744 87
296 189 82
296 201 24
296 479 60
296 680 71
297 91 34
297 119 86
297 202 66
297 219 42
297 355 69
297 377 42
297 418 55
297 511 6
297 659 55
297 879 2
297 904 49
298 114 43
298 252 17
298 679 5
299 598 13
299 615 34
299 623 14
299 907 95
299 938 3
299 951 12
300 102 30
300 203 65
300 225 31
300 291 1
300 715 18
300 803 76
301 56 87
301 67 100
301 103 100
301 126 46
301 216 71
301 351 34
301 422 31
301 439 36
301 657 75
302 244 100
302 278 78
302 283 29
302 403 5
302 586 33
302 642 31
302 728 53
302 822 75
303 6 48
303 129 58
303 278 88
303 440 81
303 479 71
303 670 82
304 165 83
304 223 83
304 643 12
304 888 48
304 992 13
305 25 12
305 155 65
305 156 88
305 261 99
305 584 65
305 645 87
305 668 45
305 737 35
305 746 21
306 349 75
306 658 71
306 708 95
306 757 74
306 827 48
306 843 24
307 31 79
307 68 81
307 144 54
307 498 32
307 731 55
307 751 1
307 844 89
308 221 42
308 433 81
308 441 60
308 458 24
308 494 64
308 808 42
308 829 35
308 995 11
309 140 54
309 192 47
309 302 76
309 484 42
309 487 45
309 501 40
309 653 29
309 780 89
309 983 74
310 67 49
310 410 64
310 546 45
310 617 43
310 785 38
310 842 92
311 801 66
311 911 16
312 53 73
312 105 19
312 291 47
312 411 27
312 608 19
312 609 36
312 625 69
312 943 100
313 383 95
313 395 92
313 488 63
313 543 36
313 994 27
314 101 74
314 297 90
314 397 73
314 522 50
314 573 31
314 751 18
315 275 89
315 434 59
315 772 7
315 838 63
315 858 8
316 273 71
316 505 7
316 508 50
316 528 9
316 793 99
316 882 15
316 892 25
316 931 71
317 115 34
317 255 72
317 521 98
317 586 53
317 630 7
317 758 66
317 972 52
318 59 1
318 81 58
318 120 15
318 243 37
318 267 84
318 514 89
318 836 27
319 51 57
319 670 38
319 824 58
319 932 75
320 190 26
320 498 16
320 644 81
320 898 89
321 147 23
321 304 51
321 320 96
321 571 73
321 588 60
321 627 94
321 656 88
321 667 84
322 22 65
322 39 21
322 150 55
322 327 62
322 381 74
322 559 61
322 565 28
322 702 25
322 847 62
323 135 85
323 189 40
323 396 99
323 979 69
324 57 28
324 572 25
324 702 25
324 925 65
324 931 82
325 287 99
325 292 91
325 334 98
325 743 80
325 869 80
325 950 21
326 0 31
326 9 75
326 19 93
326 120 90
326 532 68
326 614 81
326 790 73
327 70 33
327 464 1
327 473 27
327 855 95
327 985 75
327 999 87
328 49 22
328 231 100
328 525 49
328 828 7
328 898 39
329 65 47
329 141 75
329 189 66
329 372 71
329 429 100
329 586 31
329 645 53
329 750 98
329 861 22
330 101 50
330 137 78
330 477 1
330 484 71
330 683 8
330 998 75
331 91 63
331 137 97
331 192 43
331 313 43
331 402 70
331 891 75
332 11 44
332 105 96
332 571 69
332 962 18
333 83 83
333 240 91
333 255 17
333 279 31
333 291 97
333 297 56
333 431 77
333 536 72
333 679 22
333 688 48
333 734 71
333 820 52
334 57 100
334 160 69
334 172 73
334 307 50
334 388 47
334 495 74
334 532 20
334 635 54
334 668 48
334 672 83
334 719 51
334 760 90
334 819 26
334 850 20
334 884 65
335 90 70
335 235 16
335 392 34
335 402 88
335 768 98
336 20 25
336 22 5
336 156 29
336 253 21
336 307 60
336 368 5
336 807 93
336 847 81
336 992 53
337 91 63
337 386 33
337 891 52
338 16 32
338 171 6
338 442 2
338 659 78
338 773 79
338 847 21
339 79 32
339 777 27
339 902 4
340 473 82
340 507 17
340 537 29
340 650 2
340 680 81
340 716 98
340 783 17
340 965 15
341 50 85
341 116 15
341 658 39
341 692 89
341 784 43
341 835 59
341 846 49
342 50 48
342 155 52
342 238 30
342 289 100
342 543 15
342 555 62
342 562 52
342 679 46
342 685 68
342 818 53
342 942 24
343 50 47
343 143 74
343 323 55
343 359 73
343 591 77
343 641 37
343 753 90
343 798 6
343 841 39
344 213 70
344 303 4
344 598 55
344 814 84
345 154 88
345 298 69
345 659 22
345 673 77
345 804 12
346 292 81
346 573 26
346 767 59
346 778 33
347 184 55
347 306 58
347 532 47
347 677 17
347 780 9
347 915 93
348 138 85
348 300 62
348 305 17
348 428 31
348 567 36
348 705 71
348 712 4
348 756 13
349 253 8
349 396 93
349 407 18
349 511 46
349 542 63
349 647 21
349 702 1
349 766 47
349 919 9
350 61 70
350 200 69
350 686 85
351 446 81
351 506 50
351 554 10
351 660 39
351 846 82
351 899 65
351 962 97
352 48 28
352 268 81
352 269 6
352 843 21
352 934 65
352 985 67
353 381 37
353 569 96
353 792 3
354 584 8
354 692 99
354 796 15
354 865 15
354 952 92
355 50 32
355 53 61
355 250 55
355 323 52
355 558 61
355 840 1
355 916 60
355 949 31
355 981 69
356 74 45
356 233 11
356 250 18
356 253 55
356 480 49
356 496 100
356 568 19
356 879 45
356 997 27
357 420 100
357 743 50
357 878 47
358 353 64
358 548 17
358 930 84
359 334 60
359 356 19
359 526 91
359 552 59
359 646 33
359 859 6
359 884 50
360 50 65
360 265 66
360 323 4
360 739 16
360 923 27
360 934 5
360 960 76
361 16 57
361 87 73
361 139 21
361 188 67
361 307 91
361 342 75
361 553 16
361 839 90
362 376 94
362 380 61
362 571 17
362 718 93
362 761 11
362 786 64
362 823 57
362 889 28
362 994 47
363 288 16
363 427 46
363 925 37
364 124 74
364 225 79
364 313 42
364 384 24
364 413 43
364 513 8
364 520 28
364 766 59
364 808 35
365 88 32
365 634 34
365 722 91
366 213 5
366 278 54
366 495 58
366 783 95
366 936 29
366 940 74
367 615 85
367 664 22
367 718 34
368 29 1
368 261 15
368 400 45
368 508 64
368 559 71
368 860 72
368 915 11
369 383 87
369 504 17
370 257 47
370 478 60
370 721 96
370 925 89
371 674 83
372 414 38
372 444 97
372 676 11
372 805 97
372 847 31
373 199 42
373 888 30
373 933 22
374 45 46
374 76 84
374 226 79
374 461 41
374 477 12
374 558 52
374 698 25
375 150 34
375 495 86
375 510 25
375 760 48
375 822 30
375 848 89
375 868 19
376 16 1
376 126 99
376 280 5
376 554 18
376 571 46
376 630 65
376 658 13
376 821 35
376 823 48
377 34 51
377 178 31
377 522 58
377 634 47
377 690 62
378 9 99
378 275 77
378 391 83
378 420 45
378 427 61
378 651 62
378 939 85
379 283 73
379 938 14
380 6 9
380 29 7
380 209 99
380 382 34
380 405 54
380 598 29
380 722 23
380 726 73
380 740 30
380 937 21
381 97 77
381 108 47
381 334 67
381 339 42
381 555 60
381 585 1
381 678 89
381 693 11
382 355 32
382 494 46
382 584 58
382 672 93
382 808 45
383 76 35
383 352 76
383 515 89
383 649 95
383 774 37
383 801 73
383 916 68
384 163 51
384 492 82
384 506 74
384 590 50
384 720 15
385 231 27
385 373 78
385 564 37
385 943 100
385 998 8
